show_id,cast_id
s136,397.0
s136,398.0
s137,399.0
s137,400.0
s137,401.0
s137,402.0
s137,113.0
s137,403.0
s137,404.0
s137,405.0
s137,406.0
s137,407.0
s138,408.0
s138,409.0
s138,410.0
s138,411.0
s138,412.0
s138,413.0
s138,414.0
s138,415.0
s138,416.0
s138,341.0
s138,417.0
s138,418.0
s138,419.0
s138,420.0
s139,421.0
s139,422.0
s139,423.0
s139,424.0
s139,425.0
s139,426.0
s139,427.0
s139,428.0
s139,429.0
s139,430.0
s140,431.0
s140,432.0
s140,433.0
s140,434.0
s140,435.0
s140,436.0
s140,437.0
s140,438.0
s140,439.0
s140,440.0
s140,441.0
s140,442.0
s140,443.0
s140,382.0
s141,444.0
s141,445.0
s141,446.0
s141,447.0
s141,448.0
s141,449.0
s141,450.0
s142,451.0
s142,452.0
s142,453.0
s142,454.0
s142,455.0
s142,456.0
s142,457.0
s142,458.0
s143,459.0
s143,460.0
s143,121.0
s143,461.0
s143,462.0
s143,463.0
s143,464.0
s143,465.0
s143,466.0
s143,467.0
s143,468.0
s143,469.0
s144,111.0
s144,470.0
s144,471.0
s144,472.0
s144,473.0
s144,474.0
s144,475.0
s144,476.0
s145,477.0
s145,478.0
s145,479.0
s145,480.0
s145,481.0
s145,443.0
s145,482.0
s145,483.0
s145,484.0
s145,485.0
s145,486.0
s145,487.0
s145,488.0
s146,477.0
s146,478.0
s146,443.0
s146,483.0
s146,482.0
s146,484.0
s146,480.0
s146,489.0
s146,490.0
s146,491.0
s147,477.0
s147,478.0
s147,480.0
s147,492.0
s147,493.0
s147,494.0
s147,495.0
s147,496.0
s147,497.0
s147,498.0
s150,499.0
s150,500.0
s150,501.0
s150,502.0
s150,503.0
s150,504.0
s150,505.0
s150,506.0
s150,507.0
s150,508.0
s150,509.0
s150,510.0
s151,511.0
s151,512.0
s151,513.0
s151,246.0
s151,514.0
s151,515.0
s151,516.0
s151,517.0
s151,518.0
s151,519.0
s151,520.0
s151,521.0
s151,522.0
s151,523.0
s151,524.0
s151,525.0
s151,526.0
s152,527.0
s152,528.0
s152,529.0
s152,530.0
s152,531.0
s152,532.0
s152,533.0
s152,534.0
s153,535.0
s153,536.0
s153,537.0
s153,538.0
s153,539.0
s156,540.0
s156,541.0
s156,542.0
s156,543.0
s156,544.0
s156,545.0
s156,546.0
s156,547.0
s156,548.0
s156,549.0
s157,422.0
s157,550.0
s157,551.0
s157,552.0
s157,553.0
s157,554.0
s157,555.0
s157,556.0
s157,557.0
s157,558.0
s157,559.0
s157,560.0
s157,561.0
s158,562.0
s158,563.0
s158,564.0
s158,565.0
s158,566.0
s158,567.0
s158,568.0
s158,569.0
s159,570.0
s159,571.0
s159,572.0
s159,573.0
s159,574.0
s159,575.0
s159,576.0
s159,577.0
s159,578.0
s159,579.0
s160,580.0
s160,531.0
s160,581.0
s160,582.0
s160,583.0
s160,584.0
s160,585.0
s160,586.0
s160,587.0
s160,588.0
s162,589.0
s162,590.0
s162,591.0
s162,592.0
s162,593.0
s162,594.0
s162,595.0
s162,596.0
s162,597.0
s162,598.0
s162,599.0
s162,404.0
s163,600.0
s163,601.0
s163,602.0
s163,603.0
s163,604.0
s163,605.0
s163,606.0
s163,607.0
s163,608.0
s163,609.0
s164,610.0
s164,611.0
s164,612.0
s164,613.0
s164,614.0
s164,615.0
s164,616.0
s164,617.0
s164,572.0
s164,618.0
s164,619.0
s165,620.0
s165,621.0
s165,622.0
s165,623.0
s165,624.0
s165,625.0
s165,626.0
s165,627.0
s165,628.0
s165,629.0
s165,630.0
s165,631.0
s165,632.0
s165,633.0
s165,634.0
s167,635.0
s167,636.0
s167,637.0
s167,638.0
s167,639.0
s167,640.0
s167,641.0
s167,431.0
s167,642.0
s167,643.0
s168,644.0
s168,645.0
s168,646.0
s168,647.0
s168,648.0
s168,649.0
s168,650.0
s168,651.0
s168,652.0
s168,653.0
s168,654.0
s169,40.0
s169,655.0
s169,656.0
s169,657.0
s169,658.0
s169,659.0
